Year,Region,Sex,Age Group,Ethnic Group,Measure,Value,Flags
2018,Auckland Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1483,
2018,Auckland Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Waikato Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1068,
2018,Waikato Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,959,
2018,Bay of Plenty Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1433,
2018,Bay of Plenty Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,1109,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1231,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,1055,
2018,Taranaki Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1431,
2018,Taranaki Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,1207,
2018,Manawatu-Wanganui Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1121,
2018,Manawatu-Wanganui Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,1013,
2018,Wellington Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1472,
2018,Wellington Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1096,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,779,
2018,Canterbury Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1340,
2018,Canterbury Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,1062,
2018,Otago Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1113,
2018,Otago Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,1021,
2018,Southland Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1292,
2018,Southland Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,882,
2018,Northland Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1061,
2018,Northland Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,959,
2018,Auckland Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1372,
2018,Auckland Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Waikato Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1175,
2018,Waikato Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,967,
2018,Bay of Plenty Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1364,
2018,Bay of Plenty Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,997,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1002,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,959,
2018,Taranaki Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1070,
2018,Taranaki Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Manawatu-Wanganui Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1042,
2018,Manawatu-Wanganui Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,999,
2018,Wellington Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1480,
2018,Wellington Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,1247,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,838,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,740,
2018,Canterbury Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1101,
2018,Canterbury Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,1045,
2018,Otago Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,1146,
2018,Otago Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,959,
2018,Southland Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Average Weekly Earnings,892,
2018,Southland Region,Total Both Sexes,60 to 64,Total Ethnic Groups,Median Weekly Earnings,781,
2018,Northland Region,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,972,
2018,Northland Region,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,614,
2018,Auckland Region,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,1092,
2018,Auckland Region,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,930,
2018,Waikato Region,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,957,
2018,Waikato Region,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,725,
2018,Bay of Plenty Region,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,965,
2018,Bay of Plenty Region,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,575,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,1186,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,748,
2018,Taranaki Region,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,1031,
2018,Taranaki Region,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,460,
2018,Manawatu-Wanganui Region,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,740,
2018,Manawatu-Wanganui Region,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,690,
2018,Wellington Region,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,909,
2018,Wellington Region,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,706,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,65 plus,Total Ethnic Groups,Average Weekly Earnings,850,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,65 plus,Total Ethnic Groups,Median Weekly Earnings,671,
